Date,BAC Returns,MS Returns,C Returns,WFC Returns,GS Returns,JPM Returns
2006-01-03,,,,,,
2006-01-04,-0.010633062185620434,0.000821213460577841,-0.018477975733713237,-0.01160374769689132,-0.013703805143412962,-0.01430439899092728
2006-01-05,0.001329068070733852,0.0027177108512446146,0.004913151860603371,-0.0010003657725071724,-0.00036387314233177204,0.003129967159852365
2006-01-06,-0.0015489459270110473,0.0010241976466909275,0.0,0.005703824606290597,0.013995057187194737,0.007060589138629059
2006-01-09,0.0006736120147889935,0.010444979016318134,-0.004695255778346175,0.0,0.012025884464597736,0.01624021376363327
2006-01-10,-0.008363485227484313,0.0006338245903327877,0.003129120549806075,-0.0008684858081523528,0.012443058770816195,0.0014766615853138987
2006-01-11,-0.0023219276885376727,0.005834702316886764,0.009064316566463892,0.0052417850165726865,-0.0004517752925013996,-0.0006367865096607028
2006-01-12,-0.0066057041531141225,-0.0015564521083781813,0.000991794259435519,-0.01150760550094121,0.0022506733571929782,-0.018546724593236252
2006-01-13,0.0,-0.0016357967714807353,-0.0022453466361700425,0.005451878556533396,0.007675600058901333,-0.0006457615820464335
2006-01-17,-0.010650304201746064,-0.009548365888860988,-0.00998722879720959,-0.01032173584441376,-0.005187688373367361,-0.005291023672380435
2006-01-18,-0.001159101041093069,-0.006158146384973584,-0.001514569308388336,0.0159926119638234,-0.0015240263674922705,-0.010879321605319903
2006-01-19,-0.002604440150385301,0.015460757175320028,-0.008583916214980114,-0.015740874269657423,0.01097870462319328,-0.005515380921442881
2006-01-20,-0.021042601132941763,-0.02540985923092154,-0.04702922879929028,-0.01739118852368038,-0.017826284674852255,-0.025947465967917083
2006-01-23,-0.005176094777656348,0.011148633508115902,0.006861090685950311,0.0014730335454018473,0.010889897212704946,0.0058322215660973065
2006-01-24,0.00642472369904068,0.003477961612063707,0.0001523637395315358,0.0,0.0010809226315886544,-0.004269074937123696
2006-01-25,0.008677226510256375,0.008210095299460596,0.004809232886642922,0.006497080825490276,0.004209216353720624,0.009688455379240013
2006-01-26,0.006118455209872531,0.013371919227320062,0.01693865227926805,0.00937788576193066,0.028584706225397216,0.028790074327198267
2006-01-27,-0.002262605092052228,0.013472654173903642,-0.002994573780899956,0.001927432606475099,0.011365951754502612,0.004165951318984229
2006-01-30,-0.007057831248607593,-0.001721287000770455,-0.0011369730220279761,-0.00376323114838395,0.006525699870362001,0.0024005750214586286
2006-01-31,-0.005612139958917406,0.012846453338293262,-0.005128655166984464,-0.0016640341705412842,0.009894786309166292,-0.0023948260618338324
2006-02-01,-0.006358356658948128,0.0063057742130812056,-0.005357457892715911,-0.008267188398304537,0.00337797080468083,0.0032240280811448585
2006-02-02,-0.011627498317108076,-0.009240329958939975,-0.024792698608948283,-0.008740551665872842,0.0056424878476097895,0.0028693456500721304
2006-02-03,-0.008085383399252688,0.0027827697270494944,-0.0026693484970873316,-0.004161736504957325,0.0015115931508604685,-0.011517373164971367
2006-02-06,0.006551916214889708,0.004726019916798219,0.002413671032729381,0.0,0.0004945767105530852,-0.0024138148800459946
2006-02-07,0.0026108301508416254,-0.01929690202085088,-0.0026459697786910263,0.0015751401009729271,-0.023139861927895744,-0.004455964380420618
2006-02-08,0.004183391580207196,0.012063914310689317,0.006853779772363344,0.0029635151289264527,0.011638965231427045,0.008573820702226786
2006-02-09,0.003714265500595948,-0.001269420895165796,0.009519318381636,-0.001658652865707988,-0.002121622437450954,0.004402832944538915
2006-02-10,0.002103739288144668,-0.01440256400031903,0.0036947600385310864,0.008111850019292488,-0.00025064172925504113,0.0038046415929975375
2006-02-13,-0.005099514937385696,-0.008162460268693605,-0.006073912414708893,-0.0012878126097567444,-0.008134930926569472,-0.0037902211599258884
2006-02-14,0.01052050533231097,0.004400355903640962,0.009632147722913764,0.016280726433299142,0.015374826771722194,0.00815330159892591
2006-02-15,0.004520661846421303,0.013051854596958457,0.002795784575234661,0.013832755859400914,0.023468415495677908,0.00557606029893476
2006-02-16,0.007521959138189205,0.007273702171587182,0.004172839699722708,0.007084564052073139,0.005426441110113922,0.012335529144665625
2006-02-17,-0.0007045717400262497,-0.00802712356845059,-0.004384481278134844,-0.005705123748609542,-0.002619329651812774,-0.0010024091800292512
2006-02-21,-0.002482373287215678,-0.0006168737540278579,-0.0015602744201240748,-0.0013372314065839275,-0.014427419624636117,-0.0017721329541898756
2006-02-22,0.011893299050189876,0.013343738003056105,0.01547792308417173,0.014120993326769637,0.014553755547823677,0.017275747508305628
2006-02-23,0.0064685167221962825,-0.011952250425274369,-0.0017425330140408146,0.0,-0.010656272479381723,-0.007174797769180619
2006-02-24,0.007715475473378364,-0.0001729193293737996,0.0011645772274799793,0.002429320998308615,0.0015809942509299457,0.013323077026885732
2006-02-27,0.00566823294592167,-0.0016467775045680977,-0.001516573987145331,-0.001317177108667078,-0.002650527151020876,-0.0018644790112934961
2006-02-28,-0.002739322457017246,-0.017760303687635592,-0.008823954867640649,-0.004297247089552703,-0.017494265909456463,-0.010517291989112332
2006-03-01,-0.00549887664324944,0.007824042123559138,0.0034687473938788127,0.007562377711980428,0.013171269576004008,0.011788739848772378
2006-03-02,-0.009901635072633641,-0.005670938469303111,-0.010320925195367758,-0.012974793670706641,0.005994133401351798,0.0007196737479009396
2006-03-03,0.0009263767353113739,-0.0012013620537935088,-0.0028236356145475705,-0.0003438684768367617,0.013826910074374643,-0.001634748561687549
2006-03-06,0.00046538899420767166,0.003455197352292272,0.0037079630414245113,-0.0016763911869721593,-0.006769148687852167,-0.003931821744074693
