Bank Ticker,BAC,BAC,BAC,BAC,BAC,MS,MS,MS,MS,MS,C,C,C,C,C,WFC,WFC,WFC,WFC,WFC,GS,GS,GS,GS,GS,JPM,JPM,JPM,JPM,JPM
Stock Info,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-10,36.8387,37.0459,36.5342,36.9643,10740211.62609,40.0031,40.0924,38.9386,39.5469,5675489.8833589,378.162,381.235,374.462,380.315,1537173.4518997,22.0513,22.2881,22.0009,22.2082,9033392.0871512,115.586,116.546,113.224,115.674,5395623.6777669,28.5626,28.8268,28.3297,28.7846,12192297.615948
2006-02-13,36.9643,36.9977,36.4429,36.7758,9897171.9420668,39.4753,39.7255,38.9464,39.2241,5196121.3444725,381.167,382.557,375.763,378.005,1399737.5291894,22.146,22.223,22.0237,22.1796,7505221.2200279,115.674,116.507,114.321,114.733,2623200.4711267,28.7846,29.0646,28.5556,28.6755,10806835.761431
2006-02-14,36.9643,37.4465,36.8023,37.1627,20258221.662593,39.2241,39.6519,38.8287,39.3967,4702697.0499569,378.817,382.713,378.23,381.646,1834459.0688491,22.2723,22.7361,22.2318,22.5407,11482237.429832,115.997,116.928,114.018,116.497,3655224.3956728,28.594,29.0783,28.5871,28.9093,17897795.397082
2006-02-15,37.0891,37.5359,36.9732,37.3307,14982044.839655,39.3889,40.0423,39.123,39.9109,3715976.8891497,380.981,384.534,378.651,382.713,2053899.7091877,22.5407,22.8525,22.5407,22.8525,13916634.183392,116.683,119.536,116.164,119.231,5271110.1799875,28.8199,29.1992,28.8199,29.0705,17565196.648596
2006-02-16,37.3552,37.6479,37.2678,37.6115,13988215.524982,39.8961,40.2366,39.6763,40.2012,3348380.6567575,383.134,384.31,380.981,384.31,1602196.9870785,22.7983,23.0282,22.669,23.0144,11508639.698096,120.026,120.25,118.506,119.878,3465594.0567767,29.1638,29.4291,29.0125,29.4291,16048807.989246
2006-02-17,37.6871,38.1428,37.4701,37.585,14185815.632008,40.16,40.2366,39.6852,39.8785,4199654.9084421,384.789,385.356,381.734,382.625,1587654.2382756,23.0144,23.044,22.8051,22.8831,9488864.1491432,120.113,120.133,118.379,119.564,2929920.1083574,29.3161,29.4291,29.1274,29.3996,15974740.517099
2006-02-21,37.6292,37.7274,37.4612,37.4917,12333735.188728,39.9324,40.1846,39.6852,39.8539,3508893.5128121,382.312,383.712,380.413,382.028,1686545.1344451,22.9581,22.9739,22.7055,22.8525,8927227.6888846,119.574,119.741,117.477,117.839,3091314.8168198,29.2945,29.5234,29.2345,29.3475,10158975.673628
2006-02-22,37.4102,38.0151,37.3827,37.9376,17502024.601649,39.9736,40.5122,39.9658,40.3857,4429788.0931772,383.8,388.773,382.625,387.941,1831425.0730677,22.9581,23.2473,22.9275,23.1752,11645923.588806,117.839,119.554,117.683,119.554,3242731.344088,29.4831,29.9586,29.374,29.8545,18240803.919748
2006-02-23,38.0327,38.4619,37.8698,38.183,20610291.555627,40.3268,40.3268,39.8961,39.903,3737628.2568856,387.941,389.929,385.62,387.265,1518453.5957734,23.1387,23.3173,22.9275,23.1752,11322725.330233,119.614,119.614,118.133,118.28,2991024.8614838,29.7474,29.9713,29.5587,29.6403,12121558.584357
2006-02-24,37.8207,38.623,37.8207,38.4776,16435950.599099,39.7765,40.2532,39.6763,39.8961,3893575.7953576,386.698,389.674,386.698,387.716,1516106.0798455,23.2601,23.3252,23.1446,23.2315,11109853.368896,117.516,119.447,117.516,118.467,2817337.776618,29.5165,30.1561,29.4703,30.0352,12891059.433205
2006-02-27,38.5797,38.7143,38.4619,38.6957,21934805.333708,39.9324,40.1022,39.6969,39.8304,3813580.3008648,388.949,390.026,386.541,387.128,1222274.3146594,23.2315,23.3686,23.1515,23.2009,8515942.4890018,118.957,119.319,117.772,118.153,2777778.0992578,29.9586,30.2455,29.9586,29.9792,11845409.984122
2006-02-28,38.5179,38.7546,38.5022,38.5897,24554826.463377,39.5469,39.8392,38.8846,39.123,5342705.8538502,385.444,388.411,383.203,383.712,1998986.4286382,23.1515,23.2235,22.9542,23.1012,13637621.773561,117.976,118.467,115.929,116.086,4758323.0915937,29.9861,29.9949,29.5381,29.6639,16216077.904184
2006-03-01,38.1664,38.4355,38.133,38.3775,18507969.71279,39.1495,39.6077,39.1436,39.4291,3152431.8035885,383.879,386.042,382.401,385.043,1216332.9949743,23.1949,23.3094,23.1446,23.2759,11768474.134222,116.663,118.096,116.301,117.615,3590474.887129,29.6766,30.2395,29.656,30.0136,14601768.966577
2006-03-02,38.0809,38.1752,37.7883,37.9975,17071649.067587,39.4291,39.4291,39.1162,39.2055,3136607.6116998,382.87,383.976,379.65,381.069,1547608.5586026,23.1821,23.1891,22.8643,22.9739,10943395.650709,117.536,118.997,116.87,118.32,3532533.275602,30.0136,30.1639,29.8279,30.0352,15173345.675478
2006-03-03,37.9376,38.2823,37.855,38.0327,14733348.20924,39.0475,39.5087,38.8974,39.1584,3321039.7148431,380.668,383.457,378.984,379.993,1690074.5807162,22.9206,23.1012,22.8219,22.966,9715080.1293833,117.879,121.161,117.566,119.956,4920575.929761,29.9213,30.3467,29.8682,29.9861,17046884.149432
